Region code,Region name ,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E12000001,North East,E06000001,Hartlepool,2.86,3.02,2.82,2.86,4.14,4.63,4.7,3.98,4.75,4.32,3.98,4.79,4.69,4.74,4.62,4.82,4.6,4.9,4.54,4.87,3.96
E12000001,North East,E06000002,Middlesbrough,2.83,2.65,3.74,4.23,5.17,5.4,4.58,5.17,5.12,4.98,4.62,4.98,5.28,5.05,5.25,5.18,5.23,5.18,5.07,5.3,4.49
E12000001,North East,E06000003,Redcar and Cleveland,2.83,3.95,4.37,4.67,5.66,5.52,5.71,4.98,5.57,4.74,5.19,4.8,4.9,5,5.33,5.12,5.37,5.03,5.06,5.84,5.01
E12000001,North East,E06000004,Stockton-on-Tees,3.33,4.03,4.54,4.99,5.53,5.64,5.44,5,5.32,4.95,5.07,4.79,5.09,5.07,4.86,5.37,5.43,4.97,5.14,5.63,4.79
E12000001,North East,E06000005,Darlington,3.42,4.06,5.12,5.97,5.94,5.45,5.88,5.46,5.45,5.16,5.26,5.34,4.76,5.18,4.84,4.96,5.26,5.05,5.55,5.21,4.81
E12000001,North East,E06000047,County Durham,:,3.32,4.25,4.77,5.28,5.11,5.12,4.68,4.84,4.38,4.2,4.36,4.46,4.45,4.44,4.44,4.44,4.39,4.25,4.62,3.97
E12000001,North East,E06000057,Northumberland,:,4.42,5.31,5.72,6.14,6.33,6.39,5.59,5.76,5.49,5.59,5.46,5.86,6.17,5.95,5.9,6.01,6.16,5.95,6.54,5.52
E12000001,North East,E08000021,Newcastle upon Tyne,3.94,4.84,6.11,5.95,6.54,6.82,6.52,5.98,6.28,6.13,5.61,5.66,5.56,5.68,5.83,5.84,5.94,5.89,5.68,6.14,5.65
E12000001,North East,E08000022,North Tyneside,3.45,4.61,5.59,5.98,6.32,6.43,5.91,5.38,5.9,5.52,5.57,5.67,5.86,6.02,5.94,5.92,5.9,5.89,5.79,6.37,5.59
E12000001,North East,E08000023,South Tyneside,2.7,3.18,4.58,5.02,5.2,5.59,5.31,4.77,5.06,4.7,4.56,4.77,5.02,5.31,5.56,5.26,5.48,5.24,5.09,5.47,4.75
E12000001,North East,E08000024,Sunderland,3.31,3.93,4.89,5.16,5.36,5.45,5.39,4.87,4.92,4.75,4.77,4.64,4.76,4.87,4.77,5.02,4.95,5.11,4.81,5.61,4.72
E12000001,North East,E08000037,Gateshead,3.36,4.25,5.12,5.24,6.06,5.98,5.73,5.42,5.2,5.11,4.76,5.07,4.98,5.21,5.19,5.04,5.24,5.28,5.34,5.56,4.71
E12000002,North West,E06000006,Halton,3.17,4.1,4.58,5.6,5.83,5.38,5.25,5.19,5.47,4.96,4.83,4.8,4.96,5.01,5.34,5.24,5.07,5.33,5,5.62,4.98
E12000002,North West,E06000007,Warrington,4.39,4.86,5.82,6,5.43,6.13,5.49,5.32,5.66,5.7,5.56,5.83,5.95,5.81,6,6.21,5.85,6.15,6.65,7.32,7.09
E12000002,North West,E06000008,Blackburn with Darwen,2.38,2.68,3.24,3.74,4.09,4.51,4.99,4.24,4.28,4.41,4.47,4.39,4.29,4.88,4.57,4.64,5.12,4.86,5.09,5.4,4.74
E12000002,North West,E06000009,Blackpool,3.51,3.94,5.11,5.74,6.19,6.06,6.16,5.16,5.65,5.14,4.92,4.74,5.04,4.76,4.9,4.86,4.79,4.6,4.81,5.51,5.28
E12000002,North West,E06000049,Cheshire East,:,5.33,6.01,5.92,6.38,6.62,6.63,5.98,6.73,6.43,6.33,6.33,6.5,6.9,7.02,7.5,7.78,7.45,7.36,8.49,7.39
E12000002,North West,E06000050,Cheshire West and Chester,:,4.79,5.63,6.03,6.42,6.3,6.25,5.58,5.72,5.97,5.86,5.89,6.07,6.37,6.42,6.7,6.65,6.46,6.69,7.27,6.87
E12000002,North West,E07000026,Allerdale,3.05,3.69,4.6,4.76,5.46,6.11,5.75,5.45,5.32,5.78,5.73,5.45,5.25,5.62,4.88,5.31,5.49,5.41,4.9,4.94,4.58
E12000002,North West,E07000027,Barrow-in-Furness,2.27,2.5,2.99,3.52,3.69,4.05,4.13,3.79,3.92,3.84,3.68,3.62,3.38,4.23,4.44,3.98,3.66,4.01,3.58,4.17,4.47
