Area code,Area name,Qualification index score,"Qualification index rank 
(lowest = 1, highest = 331)",Qualification index rank percentile,No qualifications (number),Level 1 and entry level qualifications (number),Level 2 qualifications (number),Apprenticeship (number),Level 3 qualifications (number),Level 4 qualifications and above (number),Other (number), No qualifications (percent), Level 1 and entry level qualifications (percent), Level 2 qualifications (percent), Apprenticeship (percent), Level 3 qualifications (percent), Level 4 qualifications and above (percent), Other (percent)
K04000001,England and Wales,2.45,x,x,8827472,4679223,6493490,2590252,8225629,16413231,1337076,18.2,9.6,13.4,5.3,16.9,33.8,2.8
E06000001,Hartlepool,2.2,278,16,17286,7076,10963,5205,13776,18526,1854,23.1,9.5,14.7,7,18.4,24.8,2.5
E06000002,Middlesbrough,2.19,282,15,27282,11221,15270,7040,19976,30127,3023,23.9,9.8,13.4,6.2,17.5,26.4,2.7
E06000003,Redcar and Cleveland,2.23,268,19,24732,10983,15663,8692,21300,28003,2969,22,9.8,13.9,7.7,19,24.9,2.6
E06000004,Stockton-on-Tees,2.38,196,41,29441,15324,23005,10565,29004,46648,4023,18.6,9.7,14.6,6.7,18.4,29.5,2.5
E06000005,Darlington,2.36,205,38,16972,8276,12733,6215,16141,25517,2253,19.3,9.4,14.5,7.1,18.3,29,2.6
E06000006,Halton,2.18,286,14,21865,12338,17403,5718,19057,24876,2691,21,11.9,16.7,5.5,18.3,23.9,2.6
E06000007,Warrington,2.47,144,56,28453,17238,25489,10298,29830,56955,4454,16.5,10,14.8,6,17.3,33,2.6
E06000008,Blackburn with Darwen,2.16,296,11,28923,12968,16574,6550,18823,32054,3616,24.2,10.9,13.9,5.5,15.8,26.8,3
E06000009,Blackpool,2.08,317,4,28575,13677,17470,7889,19382,26177,3170,24.6,11.8,15,6.8,16.7,22.5,2.7
E06000010,Kingston upon Hull,2.06,319,4,54010,24163,30143,14691,37418,46511,6944,25.3,11.3,14.1,6.9,17.5,21.7,3.2
E06000011,East Riding of Yorkshire,2.4,185,44,52477,28930,40565,20621,49602,87851,8094,18.2,10,14.1,7.2,17.2,30.5,2.8
E06000012,North East Lincolnshire,2.06,320,3,30907,15531,20513,8313,20885,27537,3837,24.2,12.2,16.1,6.5,16.4,21.6,3
E06000013,North Lincolnshire,2.17,292,12,30466,16292,21104,9922,23954,33361,4368,21.8,11.7,15.1,7.1,17.2,23.9,3.1
E06000014,York,2.72,39,88,22953,12802,19552,9032,37410,66749,3585,13.3,7.4,11.4,5.2,21.7,38.8,2.1
E06000015,Derby,2.33,219,34,42141,21586,27706,13064,36230,62097,6365,20.1,10.3,13.2,6.2,17.3,29.7,3
E06000016,Leicester,2.1,310,6,77692,31152,33954,11024,46860,77900,12431,26.7,10.7,11.7,3.8,16.1,26.8,4.3
E06000017,Rutland,2.65,60,82,4491,2953,5278,1936,5835,13012,795,13.1,8.6,15.4,5.6,17,37.9,2.3
E06000018,Nottingham,2.4,188,43,51554,23096,29844,10835,66236,75673,7084,19.5,8.7,11.3,4.1,25.1,28.6,2.7
E06000019,Herefordshire,2.44,167,50,28315,14982,22184,9258,26573,51420,4401,18,9.5,14.1,5.9,16.9,32.7,2.8
E06000020,Telford and Wrekin,2.26,258,22,29666,16732,23218,8212,27765,38803,4277,20,11.3,15.6,5.5,18.7,26.1,2.9
E06000021,Stoke-on-Trent,2.05,322,3,53354,22574,30443,14144,34678,44948,5757,25.9,11,14.8,6.9,16.8,21.8,2.8
E06000022,Bath and North East Somerset,2.76,34,90,19805,11972,19147,7608,35318,64251,3517,12.3,7.4,11.8,4.7,21.9,39.8,2.2
E06000023,Bristol,2.72,38,89,56657,29350,41789,15282,73981,164106,8543,14.5,7.5,10.7,3.9,19,42.1,2.2
E06000024,North Somerset,2.54,108,67,26615,17219,26482,10668,32377,60489,4717,14.9,9.6,14.8,6,18.1,33.9,2.6
E06000025,South Gloucestershire,2.55,103,69,33792,23996,33959,15142,46440,78233,5802,14.2,10.1,14.3,6.4,19.6,33,2.4
E06000026,Plymouth,2.4,182,45,37894,21388,30727,15836,47362,60155,5262,17.3,9.8,14.1,7.2,21.7,27.5,2.4
E06000027,Torbay,2.25,263,21,23137,13696,18096,8688,20227,29628,3560,19.8,11.7,15.5,7.4,17.3,25.3,3
E06000030,Swindon,2.31,227,31,32430,24335,30268,10948,30591,52220,6359,17.3,13,16.2,5.8,16.3,27.9,3.4
E06000031,Peterborough,2.17,293,11,37471,20666,24191,9286,25727,43956,6276,22.4,12.3,14.4,5.5,15.4,26.2,3.7
E06000032,Luton,2.23,270,18,39478,19650,21943,8349,24832,51546,6900,22.9,11.4,12.7,4.8,14.4,29.8,4
E06000033,Southend-on-Sea,2.26,257,22,28823,17593,23151,7432,25291,39832,4288,19.7,12,15.8,5.1,17.3,27.2,2.9
E06000034,Thurrock,2.19,285,14,29443,16640,21251,6757,22151,35723,4398,21.6,12.2,15.6,5,16.2,26.2,3.2
E06000035,Medway,2.25,261,21,43158,26898,35426,13625,40009,57001,6641,19.4,12.1,15.9,6.1,18,25.6,3
E06000036,Bracknell Forest,2.59,90,73,13183,10581,14929,5171,17874,35578,2617,13.2,10.6,14.9,5.2,17.9,35.6,2.6
E06000037,West Berkshire,2.59,86,74,18484,12985,18954,6788,22048,48376,3101,14.1,9.9,14.5,5.2,16.9,37,2.4
E06000038,Reading,2.63,70,79,22361,12932,15070,5853,23734,57149,4263,15.8,9.1,10.7,4.1,16.8,40.4,3
E06000039,Slough,2.38,195,41,23966,12764,14336,5004,16181,41423,5260,20.2,10.7,12.1,4.2,13.6,34.8,4.4
E06000040,Windsor and Maidenhead,2.77,29,91,15552,10077,15918,5060,18341,55603,3124,12.6,8.1,12.9,4.1,14.8,45,2.5
E06000041,Wokingham,2.86,16,95,14671,11396,17773,5746,22992,65047,3196,10.4,8.1,12.6,4.1,16.3,46.2,2.3
E06000042,Milton Keynes,2.51,124,63,35577,24422,32011,10477,35371,80545,6428,15.8,10.9,14.2,4.7,15.7,35.8,2.9
E06000043,Brighton and Hove,2.82,23,93,29215,16545,25067,8052,46359,104790,5339,12.4,7,10.7,3.4,19.7,44.5,2.3
E06000044,Portsmouth,2.44,168,49,29766,16434,22404,9093,37296,51190,4638,17.4,9.6,13.1,5.3,21.8,30,2.7
E06000045,Southampton,2.46,149,55,35381,19470,25671,11096,41992,64663,6095,17.3,9.5,12.6,5.4,20.5,31.6,3
E06000046,Isle of Wight,2.33,221,33,22064,13355,17501,8926,21444,32783,3513,18.5,11.2,14.6,7.5,17.9,27.4,2.9
E06000047,County Durham,2.29,241,27,90804,41359,61724,27061,86414,116019,10577,20.9,9.5,14.2,6.2,19.9,26.7,2.4
E06000049,Cheshire East,2.61,81,76,49524,28571,45115,19394,55373,123785,7711,15,8.7,13.7,5.9,16.8,37.6,2.3
E06000050,Cheshire West and Chester,2.55,102,69,46771,27467,40467,15914,52461,105387,6891,15.8,9.3,13.7,5.4,17.8,35.7,2.3
E06000051,Shropshire,2.47,148,55,45573,26154,40900,16564,47417,88502,7136,16.7,9.6,15,6.1,17.4,32.5,2.6
E06000052,Cornwall,2.45,159,52,77919,47676,72367,31455,89955,145890,12163,16.3,10,15.2,6.6,18.8,30.6,2.5
E06000053,Isles of Scilly,2.71,42,87,213,119,272,88,341,655,42,12.3,6.9,15.7,5.1,19.7,37.9,2.4
E06000054,Wiltshire,2.54,105,68,60409,42756,62668,23327,76544,143201,10209,14.4,10.2,15,5.6,18.3,34.2,2.4
E06000055,Bedford,2.49,136,59,24813,15366,19977,8263,23976,51411,4312,16.8,10.4,13.5,5.6,16.2,34.7,2.9
E06000056,Central Bedfordshire,2.51,118,64,35598,24650,34892,14069,43107,78654,5789,15,10.4,14.7,5.9,18.2,33.2,2.4
E06000057,Northumberland,2.42,178,46,48173,26051,38873,18624,47690,82653,6782,17.9,9.7,14.5,6.9,17.7,30.7,2.5
E06000058,"Bournemouth, Christchurch and Poole",2.49,135,59,53317,33102,47335,20187,63771,107437,9759,15.9,9.9,14.1,6,19,32.1,2.9
E06000059,Dorset,2.47,147,56,50834,33549,48267,21943,56884,101298,9127,15.8,10.4,15,6.8,17.7,31.5,2.8
E06000060,Buckinghamshire,2.68,51,85,60981,39427,59473,21261,69811,181721,10721,13.8,8.9,13.4,4.8,15.7,41,2.4
E06000061,North Northamptonshire,2.25,260,21,57682,34404,44428,18199,48272,77281,8920,19.9,11.9,15.4,6.3,16.7,26.7,3.1
E06000062,West Northamptonshire,2.42,177,47,59804,37390,49213,19758,58081,109086,10168,17.4,10.9,14.3,5.8,16.9,31.8,3
