Area code,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
K04000001,"45,496,780",22.7,13.3,15.3,3.6,12.3,27.2,5.7,2.7,5.5,1.8,0.5,3.1
E92000001,"42,989,620",22.5,13.3,15.2,3.6,12.4,27.4,5.7,2.7,5.5,1.8,0.5,3.1
E12000001,"2,134,449",26.5,13.7,15.7,4.7,13.1,22.2,4.1,2.6,5.5,1.8,0.5,3.3
E06000047,"425,258",27.5,13.4,16.0,4.2,13.6,21.5,3.9,2.5,5.4,1.5,0.3,3.6
E06000005,"85,357",24.8,13.4,15.9,5.1,12.7,23.7,4.3,2.7,2.6,1.2,0.2,1.2
E06000001,"74,228",30.7,13.5,16.2,5.5,12.5,17.6,4.0,3.2,3.2,1.2,0.4,1.6
E06000002,"110,409",29.9,13.6,15.3,4.4,13.2,18.5,5.0,2.9,7.6,2.3,0.9,4.3
E06000048,"262,162",23.9,13.7,16.5,4.5,12.1,25.6,3.8,2.5,2.4,1.0,0.2,1.2
E06000003,"111,011",28.4,13.5,16.4,5.7,13.1,18.9,3.9,2.8,3.0,1.2,0.3,1.5
E06000004,"154,503",23.8,13.9,16.9,5.2,13.6,22.8,3.9,2.9,4.4,1.5,0.4,2.4
E11000004,"911,521",26.4,13.8,15.1,4.8,13.1,22.5,4.2,2.5,7.2,2.2,0.7,4.3
E08000020,"164,716",28.0,14.3,15.5,5.2,11.3,21.5,4.1,2.5,3.9,1.4,0.3,2.1
E08000021,"232,203",23.6,11.3,12.5,3.4,17.1,27.2,4.9,2.3,16.2,4.2,1.4,10.6
E08000022,"165,088",23.7,14.0,16.1,5.3,11.9,25.3,3.7,2.4,3.1,1.5,0.3,1.4
E08000023,"122,200",28.0,14.6,16.2,6.1,12.0,19.2,3.9,2.6,3.7,1.5,0.4,1.7
