ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
North East,E06000001,Hartlepool,10122,10715,10923,11002,11631,12266,12752,13225,13769,14430,14681,14307,14664,15168,15284,15773,15623,16410,17653,17886,17645,18060,17697,18386
North East,E06000004,Stockton-on-Tees,15918,16528,16878,17028,17824,19058,20456,21031,22438,23574,23778,24271,24338,24406,24635,25416,26129,27592,27881,27520,27997,29482,28116,30830
North East,E06000002,Middlesbrough,11798,12403,12826,13049,13679,14621,15788,16832,17860,18422,18959,19200,19057,19498,19841,19756,20418,21277,22048,22795,24226,24217,21990,24405
North East,E06000003,Redcar and Cleveland,10382,10643,10963,10840,11208,12309,12535,12890,13095,13373,14234,13960,14707,14937,15161,15281,15767,16290,15860,14899,15526,16220,15806,16626
North East,E06000005,Darlington,16872,17534,18892,20021,21192,22464,23854,23548,23705,23180,24148,22636,23309,24009,24085,24282,26905,28479,27195,27086,27007,26760,24491,25783
North East,E06000047,County Durham,10784,11373,11734,12096,12738,13576,14555,15115,16005,16570,17027,17011,17203,17105,17486,17657,17716,17940,18075,18534,19474,20200,19084,21133
North East,E06000057,Northumberland,11340,11434,11674,12116,12991,13450,14339,14884,15554,15890,16280,15783,16372,16679,16881,17040,17554,17961,18604,18981,19281,20194,18831,20391
North East,E08000021,Newcastle upon Tyne,17247,17453,18244,19742,21192,22407,24562,25843,27195,27438,27504,27037,27947,28948,30071,29917,30450,32081,32795,34118,33863,34674,31667,35070
North East,E08000022,North Tyneside,12135,12465,12711,13728,15093,15736,16978,17644,18073,18500,19040,18230,18778,19434,19848,19863,20669,21611,22396,24038,24960,25098,23907,25948
North East,E08000023,South Tyneside,8576,8707,8992,9376,9818,10378,11205,11761,12278,12554,12908,12141,12766,13287,14219,14484,15263,15368,15061,15217,15344,15905,14406,16422
North East,E08000037,Gateshead,15021,15312,15840,16606,17671,18488,19912,21008,21981,22301,22111,21023,21871,22937,23258,22269,22520,22713,23277,23412,23783,26114,23297,26335
North East,E08000024,Sunderland,13562,13518,14154,15001,16171,16996,18606,19540,20568,20843,21472,21647,21809,22301,22882,24964,25833,26488,26781,27903,27929,29324,26542,27871
North West,E07000026,Allerdale,13122,13436,14108,14267,15206,15436,15503,16221,17351,17744,18503,18313,19188,19272,19492,21114,22201,22113,21252,20976,21222,21947,19640,22218
North West,E07000027,Barrow-in-Furness,12616,12041,12521,11456,12652,13760,14944,14510,15809,17191,18759,18691,19361,20526,21908,22439,23190,24898,25927,28176,28371,29868,28720,28083
North West,E07000029,Copeland,17687,19894,15557,16021,16277,17388,17081,20106,20988,20131,22676,21277,22219,20971,22149,22623,24620,25135,24940,24257,24148,23577,21459,24082
North West,E07000028,Carlisle,16003,16629,17616,17938,18594,19976,20379,20908,22295,23318,24758,24527,25000,24942,25125,26829,27964,28964,29400,30023,29434,30833,27601,29305
North West,E07000030,Eden,18346,18829,19543,19293,20647,22068,22584,23450,24926,25338,26299,25307,25913,26094,27072,27324,28965,30160,29936,30439,31278,33140,28384,31140
North West,E07000031,South Lakeland,14814,15343,15869,16419,17512,18783,19356,19922,21421,21948,22861,21834,22663,22336,23540,23678,24642,25880,26645,28040,27873,30261,27620,29818
