Area,mnemonic,2016,Conf %,2017,Conf %,2018,Conf %,2019,Conf %,2020,Conf %,2021,Conf %,2022,Conf %
ladu:Darlington,E06000005,22580,8.3,22889,11,21867,9.3,23520,8.3,24146,7.6,24784,16,26184,8.6
ladu:County Durham,E06000047,21996,4.8,22986,4.4,23158,5,24000,3.3,24192,5,24245,3.8,25904,3.4
ladu:Hartlepool,E06000001,22160,7.4,22971,12,22322,8,22890,12,22965,9.8,24421,8.3,24537,13
ladu:Middlesbrough,E06000002,18687,9.1,18454,9.3,19120,13,21082,9.6,22487,11,21968,11,-,-
ladu:Northumberland,E06000057,21391,5.4,22353,4.9,21382,5.1,22046,8.8,23195,7.9,23265,9.4,24655,5.4
ladu:Redcar and Cleveland,E06000003,19881,12,20370,8,19859,7.1,20973,9.8,22016,8.6,21661,6.6,22172,10
ladu:Stockton-on-Tees,E06000004,21923,7.1,22428,7,21781,7.2,23237,8.1,24347,7.2,24598,8.7,26819,20
ladu:Gateshead,E08000037,21306,9.4,21085,9.2,21560,6.5,22259,5.5,22601,5.8,23263,4.9,25024,17
ladu:Newcastle upon Tyne,E08000021,22501,8.2,21253,9,21999,7.2,23502,11,23797,6.1,24377,8.6,27005,5.7
ladu:North Tyneside,E08000022,21037,7,21973,7.5,23208,7.6,23572,15,24968,5.7,25179,5.5,27009,7.2
ladu:South Tyneside,E08000023,21039,6.9,20910,6.7,22040,6.9,20764,7.3,21965,8.1,22863,7.5,25093,7.4
ladu:Sunderland,E08000024,20916,6.9,21178,4.2,20776,4.4,21655,4,22723,5,21944,3.5,23655,6.2
ladu:Blackburn with Darwen,E06000008,19295,7.7,18786,7.9,19879,12,21260,5.1,21512,6.3,20895,8,23205,9.9
ladu:Blackpool,E06000009,17630,6.6,17617,15,18210,6.2,19486,17,19810,6.2,20361,4.6,21771,15
ladu:Cheshire East,E06000049,22645,6.4,23045,6.8,24028,6.9,25697,5.1,27017,5.1,24873,5,28497,9.3
ladu:Cheshire West and Chester,E06000050,22354,7.7,23596,5.1,24227,9.1,25444,6,26007,7.3,26487,5.3,28005,14
ladu:Halton,E06000006,21537,5.4,21426,9.4,21958,7,22695,11,24019,7.4,23583,5.8,25890,8.6
ladu:Warrington,E06000007,23932,8.9,24672,5.8,25373,11,25180,6.2,24536,7.2,26020,5.6,27750,7
ladu:Allerdale,E07000026,-,-,22471,8.7,22720,15,24040,-,26405,11,29754,11,26755,13
ladu:Barrow-in-Furness,E07000027,21514,11,-,-,26508,13,27452,11,30097,14,28416,14,26215,14
ladu:Carlisle,E07000028,19141,6.9,19657,6.5,21509,5.9,20969,7.3,24924,11,21381,7.8,-,-
ladu:Copeland,E07000029,29191,18,-,-,-,-,26171,12,-,-,32776,17,27873,20
