Description,Code,Number of jobs (thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
United Kingdom ,K02000001,"23,901","25,990",,"31,437",,"8,788","14,163","16,733","18,722","22,210","30,265","35,567","38,890","42,522","54,657"
Great Britain,K03000001,"22,823","26,069",,"31,604",,"8,807","14,220","16,800","18,809","22,275","30,373","35,708","39,031","42,679","54,983"
England and Wales,K04000001,"20,801","26,067",,"31,770",,"8,788","14,168","16,773","18,779","22,250","30,370","35,742","39,086","42,826","55,295"
England,E92000001,"19,707","26,213",,"32,028",,"8,788","14,190","16,803","18,830","22,339","30,500","35,956","39,349","43,190","55,801"
North East ,E12000001,860,"23,514",,"26,938",,"8,747","13,635","15,982","17,651","20,492","27,041","31,120","33,848","37,016","46,625"
Darlington UA,E06000005,35,"24,784",,"28,341",,x,x,x,x,"20,844",x,x,x,x,x
Hartlepool UA,E06000001,32,"24,421",,"25,368",,x,"15,174","16,298","17,607","21,497",x,x,x,x,x
Middlesbrough UA,E06000002,42,"21,968",,"24,238",,x,x,x,"15,616","19,707","24,989","28,286","29,542",x,x
Redcar and Cleveland UA,E06000003,42,"21,661",,"24,042",,"8,666","13,250","16,530","17,473","19,006","24,356","27,419","30,182","32,755",x
Stockton-on-Tees UA,E06000004,64,"24,598",,"26,586",,x,"13,225","16,190","18,478","21,083","27,337","31,383","33,915","36,898",x
County Durham UA,E06000047,184,"24,245",,"27,846",,"10,107","14,577","16,558","18,023","20,740","27,957","32,800","35,253","38,045","46,916"
Northumberland UA,E06000057,101,"23,265",,"26,449",,x,"11,618","14,307","16,398","19,896","27,000","30,782","33,625","36,609",x
Tyne and Wear Met County,E11000007,359,"23,285",,"27,334",,"8,957","13,846","16,300","17,896","20,592","26,783","31,181","34,095","37,422","47,514"
  Gateshead,E08000037,65,"23,263",,"27,157",,"7,834","13,326","16,127","17,947","20,670","26,087","30,708","34,084","37,379",x
  Newcastle upon Tyne,E08000021,85,"24,377",,"30,374",,"8,374","13,552","16,228","17,296","20,507","28,841","33,447","37,497","41,383",x
  North Tyneside,E08000022,74,"25,179",,"28,540",,"9,330","13,748","15,755","17,934","21,222","27,951","34,036","37,015","40,034",x
  South Tyneside,E08000023,40,"22,863",,"27,219",,"10,528","14,587","17,008","18,520","21,055","26,974","30,682","34,504","35,923",x
  Sunderland,E08000024,95,"21,944",,"23,837",,"8,874","13,966","16,270","17,520","19,852","24,671","28,049","30,328","32,888",x
North West ,E12000002,"2,490","24,423",,"28,509",,"8,485","13,518","15,792","17,943","21,085","28,368","33,439","36,539","40,190","50,798"
Blackburn with Darwen UA,E06000008,43,"20,895",,"22,902",,"7,495","11,511","13,634","15,452","18,158","24,560","27,072","28,793","31,734",x
Blackpool UA,E06000009,49,"20,361",,"22,319",,"7,985","12,481","14,389","16,079","18,294","22,098","25,512","28,233","31,677",x
Halton UA,E06000006,51,"23,583",,"27,796",,"9,128","13,187","16,319","18,047","21,350","27,444","32,397","36,501","41,420",x
Warrington UA,E06000007,90,"26,020",,"30,617",,"8,810","15,924","18,584","20,031","23,001","31,009","36,369","39,511","42,965",x
Cheshire East UA,E06000049,148,"24,873",,"31,797",,"8,048","13,119","15,501","17,750","21,406","29,957","36,211","38,706","42,470",x
Cheshire West and Chester ,E06000050,138,"26,487",,"31,861",,"9,415","14,927","17,984","19,814","22,672","31,177","36,434","39,106","42,417",x
Cumbria,E10000006,184,"25,765",,"29,419",,"8,620","13,695","16,315","17,954","21,213","30,952","36,076","39,296","43,001","53,784"
  Allerdale,E07000026,38,"29,754",,"33,170",,"9,871","15,420","17,389","19,146","24,416","35,677","41,275","45,125","49,718",x
  Barrow-in-Furness,E07000027,24,"28,416",,"31,301",,x,"15,458","17,833","18,706","23,409","34,498","38,462","39,949",x,x
  Carlisle,E07000028,37,"21,381",,"24,008",,x,"12,055","13,425","16,090","18,959","24,772","27,963","31,413","32,445",x
  Copeland,E07000029,27,"32,776",,"35,908",,x,"13,416","16,435","19,974","25,860","42,514","53,056","53,784","55,573",x
  Eden,E07000030,19,"22,117",,"24,580",,x,"10,490","12,941","16,042","18,990","27,190","32,733","34,104",x,x
  South Lakeland,E07000031,39,"25,174",,"27,537",,x,x,"17,204","18,614","21,041","29,549","32,914","35,274",x,x
Greater Manchester Met County,E11000001,881,"24,282",,"28,422",,"8,180","13,259","15,662","17,745","21,057","27,937","32,842","35,635","39,215","50,684"
  Bolton,E08000001,85,"23,414",,"26,122",,x,"12,338","15,193","17,326","20,417","26,341","30,336","33,135","36,670",x
  Bury,E08000002,61,"27,332",,"29,183",,x,"13,843","16,511","17,862","21,621","30,000","35,199","37,813","40,289",x
  Manchester,E08000003,143,"23,044",,"26,580",,"7,757","12,403","14,096","16,623","20,063","26,554","30,776","33,191","36,577","47,834"
  Oldham,E08000004,73,"23,662",,"27,531",,"9,732","14,198","15,921","17,518","20,656","26,800","30,816","33,905","37,894",x
  Rochdale,E08000005,62,"22,506",,"26,320",,"7,568","13,450","15,266","17,497","20,200","25,559","30,746","34,510","37,623",x
  Salford,E08000006,88,"23,303",,"26,508",,"7,036","11,581","14,759","16,970","20,898","27,054","31,580","33,303","35,985",x
  Stockport,E08000007,103,"25,422",,"32,017",,x,x,"17,270","19,173","22,370","29,940",x,x,x,x
  Tameside,E08000008,70,"23,278",,"25,805",,"8,184","12,837","15,032","17,184","20,718","26,679","30,140","32,000","34,758",x
  Trafford,E08000009,81,"27,882",,"35,187",,"8,338","13,870","16,530","19,225","23,757","32,220","39,111","42,881","49,459",x
  Wigan,E08000010,116,"25,527",,"28,737",,"9,049","14,016","16,335","18,155","21,502","29,492","34,779","36,817","39,953",x
Lancashire,E10000017,420,"23,727",,"27,538",,"8,114","12,930","14,942","17,302","20,536","27,861","32,876","35,869","39,909","49,194"
  Burnley,E07000117,26,"23,864",,"26,957",,x,"15,142","16,844","18,353","20,970","27,104","30,697","31,895",x,x
  Chorley,E07000118,46,"25,194",,"29,453",,"7,962","13,304","15,487","17,621","21,808","30,480","38,270","41,395","44,514",x
  Fylde,E07000119,29,"26,863",,"31,021",,x,"14,705","17,642","18,731","21,562","30,282","35,635",x,x,x
  Hyndburn,E07000120,27,"23,128",,"25,955",,"7,257","11,555","13,615","15,928","19,840","25,949",x,x,x,x
  Lancaster,E07000121,49,"25,368",,"28,195",,"8,498","13,120","15,259","17,390","21,372","29,750","33,782","35,624","39,079",x
  Pendle,E07000122,25,"20,034",,"22,728",,x,x,"13,194","14,164","16,235","22,323","25,360","28,862",x,x
  Preston,E07000123,50,"22,877",,"25,440",,"7,476","11,244","13,667","15,423","19,792","25,678","29,767","33,071","37,479",x
  Ribble Valley,E07000124,24,"26,994",,"31,518",,"9,165","14,103","18,041","20,001","22,475","33,245","40,235","42,769",x,x
  Rossendale,E07000125,22,"22,857",,"27,014",,"7,740","11,798","13,832","17,197","20,203","27,834","31,676",x,x,x
  South Ribble,E07000126,42,"24,148",,"26,400",,"8,922","12,735","14,238","16,281","21,163","27,134","31,860","34,397","38,271",x
  West Lancashire,E07000127,42,"22,884",,"27,827",,"8,729","14,085","17,060","18,727","20,722","27,190","32,522","34,548","36,894",x
  Wyre,E07000128,38,"23,686",,"27,976",,"6,967","10,517","13,893","16,240","19,893","27,756","33,264","38,031","41,476",x
Merseyside Met County,E11000002,486,"24,755",,"28,008",,"9,171","13,949","16,304","18,345","21,145","28,506","33,215","36,385","40,026","49,280"
  Knowsley,E08000011,53,"24,148",,"27,333",,"8,825","14,129","16,603","19,007","21,409","28,215","32,106","34,270","37,923",x
  Liverpool,E08000012,160,"25,019",,"28,209",,"9,598","14,433","16,683","18,575","21,519","28,678","33,383","37,045","40,094","51,034"
  St. Helens,E08000013,59,"25,745",,"29,521",,"9,585","14,486","17,101","18,913","22,965","29,357","34,115","38,131","42,103",x
  Sefton,E08000014,93,"23,755",,"26,986",,"8,820","13,084","15,108","17,134","19,888","28,063","33,385","36,161","40,295",x
  Wirral,E08000015,122,"24,630",,"28,089",,"9,031","13,691","16,047","18,269","21,073","28,258","33,087","35,553","39,939",x
Yorkshire and The Humber ,E12000003,"1,890","24,057",,"28,001",,"8,657","13,642","15,824","17,871","20,800","27,977","32,474","35,503","39,444","49,848"
East Riding of Yorkshire UA,E06000011,136,"25,427",,"28,856",,"8,663","13,631","15,850","17,861","21,080","29,215","34,837","38,230","42,285",x
Kingston upon Hull UA,E06000010,99,"22,151",,"23,323",,"8,343","12,764","14,753","16,495","19,843","25,185","28,901","30,531","32,463",x
North East Lincolnshire UA,E06000012,49,"22,911",,"27,377",,"8,946","13,791","16,211","17,783","19,700","27,825","32,261","35,038","39,483",x
